degree_type,technical_skills,soft_skills,cgpa,projects,internships,communication_level,technical_skill_level,years_of_experience,specialization,project_exp,package
5,10,5,1,8,2,3,2,1,3,8,16.07
6,10,7,2,3,2,4,4,5,2,15,13.93
4,11,1,2,6,2,2,5,0,4,0,16.97
1,17,4,1,2,2,4,4,2,1,4,15.16
7,5,2,3,4,2,1,1,3,6,12,14.27
5,13,10,2,3,4,1,5,2,6,6,15.44
6,9,1,2,8,4,5,3,0,5,0,16.63
5,17,2,3,4,3,3,4,2,3,8,16.93
5,1,1,3,0,5,2,4,4,5,0,19.48
4,4,8,1,4,5,3,2,4,3,16,13.82
7,9,1,1,7,2,5,5,4,3,28,15.43
7,18,2,2,4,1,5,3,5,5,20,12.31
4,14,3,2,4,5,1,3,1,5,4,16.58
7,15,3,2,1,3,2,5,2,5,2,16.18
6,6,6,3,8,1,5,3,1,1,8,15.52
2,10,10,3,10,5,5,4,1,3,10,19.47
1,4,6,2,6,2,2,3,0,4,0,12.19
1,18,2,2,9,1,1,4,5,5,45,16.78
5,18,2,2,5,0,5,4,0,3,0,14.54
7,17,7,3,4,2,3,3,0,5,0,18.2
1,12,1,3,10,4,2,5,1,1,10,20.24
2,16,7,3,4,3,2,3,1,4,4,17.09
6,11,9,2,6,5,2,3,5,4,30,17.38
6,14,5,2,1,0,5,1,1,2,1,10.49
6,3,1,2,8,1,3,4,5,2,40,17.77
1,19,5,2,1,3,1,5,1,4,1,15.42
2,18,1,3,8,4,4,2,4,5,32,15.92
1,10,10,2,10,1,5,4,5,2,50,14.61
7,6,9,2,3,4,5,5,4,1,12,16.8
1,13,4,3,9,4,4,1,0,3,0,15.02
2,10,9,3,10,0,4,4,1,4,10,15.18
2,18,2,2,9,2,2,4,1,5,9,18.0
7,20,7,3,5,1,3,5,0,1,0,17.13
2,16,2,1,0,0,5,2,2,3,0,12.54
2,6,4,2,4,5,5,3,3,4,12,15.63
6,13,6,1,5,4,1,2,5,4,25,12.32
7,4,2,1,8,4,4,1,3,5,24,14.52
3,14,2,3,8,0,4,4,2,5,16,17.01
3,1,2,2,8,5,5,5,0,6,0,15.53
2,20,3,3,2,1,4,4,2,5,4,13.15
3,5,5,3,3,4,2,3,3,3,9,18.44
3,8,9,1,7,5,1,2,2,2,14,16.49
2,12,6,3,7,1,5,2,1,5,7,16.85
3,2,9,2,1,0,1,1,4,5,4,11.94
1,12,10,1,7,4,2,5,1,2,7,14.06
5,5,5,3,6,3,1,3,3,2,18,13.67
7,5,6,3,8,3,4,3,5,1,40,18.86
5,13,10,2,4,4,5,5,5,4,20,16.76
6,10,3,2,4,4,3,3,4,4,16,15.75
7,1,2,3,1,4,5,1,4,2,4,17.72
2,3,3,2,4,4,1,5,2,2,8,14.6
6,18,9,1,8,0,5,5,1,2,8,14.87
5,12,6,2,6,4,1,5,5,3,30,15.79
7,2,10,3,8,4,1,3,4,1,32,16.87
4,3,3,2,5,3,3,1,2,6,10,14.68
1,14,2,1,6,3,4,4,4,3,24,15.75
3,4,4,2,1,5,3,1,1,6,1,13.12
3,7,5,3,3,4,3,2,1,4,3,17.52
2,3,2,1,8,5,5,5,2,2,16,16.45
3,9,3,2,10,1,4,1,0,3,0,17.29
1,2,6,2,2,5,4,1,1,1,2,14.71
7,9,7,3,0,2,4,3,3,2,0,13.93
4,12,4,3,1,0,5,4,5,1,5,15.97
2,15,7,2,8,1,2,4,0,1,0,14.74
1,2,9,3,0,2,1,2,3,2,0,15.34
5,18,1,3,8,4,4,4,5,2,40,20.27
7,14,1,1,9,0,3,5,4,3,36,13.72
7,10,7,1,4,4,4,1,0,2,0,12.71
3,12,9,3,7,5,3,5,5,4,35,17.51
2,10,3,3,4,2,2,1,5,6,20,14.5
7,11,8,3,4,0,4,1,4,1,16,11.74
7,2,9,3,3,5,3,1,1,5,3,18.07
5,5,3,1,8,1,1,5,4,4,32,13.29
5,7,3,1,7,1,5,1,1,6,7,12.61
6,6,1,1,8,2,4,2,2,5,16,15.86
1,3,2,1,6,1,2,5,2,2,12,13.27
3,13,7,2,6,3,2,4,1,4,6,17.35
7,3,3,2,4,4,5,3,3,1,12,14.05
7,6,7,3,9,0,5,3,0,1,0,16.72
2,11,5,2,0,5,3,2,2,5,0,16.38
6,17,10,3,5,4,5,5,3,5,15,17.84
1,10,8,3,9,2,4,4,4,5,36,14.92
6,12,5,2,5,4,5,5,2,2,10,18.14
4,17,3,2,9,0,4,4,5,6,45,14.8
1,4,9,2,3,5,1,4,5,6,15,14.61
7,2,7,3,1,0,5,5,3,4,3,18.05
7,11,5,2,0,2,1,1,0,2,0,14.84
1,7,7,2,2,0,2,3,5,6,10,10.15
7,2,10,3,10,1,5,1,4,4,40,16.82
3,18,9,1,8,5,2,3,2,6,16,14.83
6,8,7,2,4,4,2,5,2,3,8,13.78
1,20,9,3,9,3,1,5,0,2,0,17.71
7,14,1,3,5,3,3,4,1,3,5,16.38
3,12,4,3,8,3,1,2,5,6,40,16.97
3,18,1,2,0,2,3,5,2,6,0,14.5
6,8,3,3,0,5,1,4,0,3,0,17.88
5,2,2,2,1,5,3,3,5,2,5,16.47
1,9,3,3,10,0,4,2,5,4,50,18.1
4,19,5,2,4,1,4,5,3,5,12,13.91
2,20,8,1,9,3,2,1,2,1,18,14.02
1,8,10,3,3,3,4,4,4,3,12,17.21
4,19,8,2,5,3,5,3,5,1,25,15.79
6,11,8,3,1,4,5,5,5,2,5,16.62
6,19,10,3,7,2,5,5,4,2,28,18.24
4,8,6,3,8,1,2,3,5,1,40,14.64
4,19,8,2,10,4,1,5,4,5,40,16.76
5,10,6,1,4,0,1,2,3,4,12,13.84
7,7,6,3,4,1,5,1,5,4,20,12.81
6,9,5,3,1,5,3,2,0,6,0,17.88
2,1,4,1,10,1,2,1,5,6,50,15.66
7,19,1,3,3,2,1,4,4,1,12,15.28
4,5,10,3,1,2,4,2,0,3,0,17.49
2,19,8,2,1,5,5,4,0,1,0,18.62
2,15,3,1,3,4,5,1,3,4,9,15.74
3,16,3,3,3,3,5,3,3,3,9,16.08
4,7,6,2,6,5,5,3,2,6,12,19.64
2,12,7,3,3,2,1,2,5,3,15,14.52
6,8,8,3,8,4,1,5,4,5,32,17.44
2,10,10,3,2,3,4,4,1,1,2,18.72
3,5,6,3,5,0,2,2,3,3,15,14.74
7,17,1,3,6,1,5,3,5,6,30,14.25
4,5,6,2,2,4,4,4,5,6,10,16.93
3,15,9,1,3,0,2,3,1,5,3,14.02
2,13,10,3,0,1,5,4,4,5,0,16.07
4,1,4,3,10,2,2,1,4,4,40,17.72
1,11,10,3,8,4,5,4,3,5,24,20.29
2,1,1,3,6,0,1,4,1,5,6,15.71
5,18,4,2,6,2,5,5,0,4,0,14.26
6,18,2,2,8,5,5,3,0,5,0,17.68
7,16,1,3,5,5,5,2,5,2,25,16.02
3,13,3,3,7,0,4,3,3,2,21,16.56
4,7,7,3,4,3,3,5,1,2,4,19.09
2,1,10,2,7,3,4,2,3,5,21,15.31
6,16,2,3,9,4,4,5,0,6,0,16.44
2,1,9,3,0,0,1,2,4,6,0,15.18
4,17,2,3,2,3,5,3,3,4,6,16.4
2,6,5,2,3,1,4,5,0,6,0,13.6
5,2,8,3,10,1,2,5,4,6,40,17.09
6,17,10,3,8,3,5,1,5,4,40,18.28
6,6,8,3,7,5,1,1,3,2,21,15.3
4,14,3,3,7,5,1,4,3,4,21,17.96
7,18,2,3,1,3,2,1,0,6,0,13.79
3,10,3,2,2,5,5,4,4,6,8,18.45
2,18,8,3,5,4,3,3,2,4,10,15.47
1,9,2,1,3,1,3,4,4,5,12,15.59
2,8,3,1,5,2,4,2,3,6,15,16.09
2,10,1,2,3,0,1,4,3,6,9,12.47
3,17,6,2,2,2,5,1,3,4,6,12.21
2,6,7,3,1,4,2,3,5,1,5,16.13
5,14,4,2,3,5,2,2,0,6,0,14.1
5,6,1,3,9,2,5,4,3,1,27,16.62
6,7,3,3,1,4,5,3,3,5,3,15.19
4,12,9,2,6,2,2,1,4,5,24,12.36
7,3,5,2,0,1,1,3,0,4,0,11.49
1,14,6,3,10,4,4,3,4,3,40,19.49
2,19,4,3,0,1,4,2,2,2,0,15.41
2,16,1,2,4,2,4,5,4,5,16,15.62
4,8,5,2,0,3,2,2,2,5,0,15.53
1,13,6,2,4,3,2,2,3,2,12,16.22
6,9,2,3,1,0,2,5,3,4,3,13.73
5,10,1,3,6,2,2,5,1,6,6,15.86
4,9,2,3,3,0,3,4,0,4,0,16.87
7,15,10,2,7,0,5,4,3,3,21,17.25
6,20,6,3,0,0,5,1,5,1,0,15.18
7,2,5,1,9,1,3,1,0,3,0,14.4
3,13,5,2,0,0,4,5,4,2,0,14.42
3,2,6,3,0,5,1,5,1,1,0,15.87
2,19,10,3,3,4,5,5,5,3,15,16.19
7,2,7,2,0,2,5,2,3,3,0,12.42
4,3,9,3,4,1,3,5,5,2,20,16.77
1,6,7,3,5,4,5,2,4,2,20,18.9
5,10,6,3,7,1,4,1,5,2,35,12.93
4,16,7,3,1,3,5,4,0,2,0,16.1
3,17,2,2,3,2,2,4,4,2,12,17.39
2,3,8,2,8,3,4,1,4,5,32,13.44
2,18,9,2,8,5,1,5,1,1,8,16.73
6,7,4,3,10,2,5,5,5,1,50,19.18
3,9,9,2,2,3,2,5,4,6,8,16.06
4,20,2,3,6,5,2,2,1,2,6,16.14
1,12,5,2,3,1,1,2,1,6,3,10.9
3,5,2,3,8,3,3,5,2,3,16,16.62
6,3,1,2,6,0,4,2,4,5,24,15.39
6,11,5,2,5,1,5,1,3,2,15,13.07
3,4,2,3,8,5,5,5,1,1,8,20.51
3,12,7,2,10,0,1,4,3,5,30,13.19
7,13,4,3,4,0,3,5,1,4,4,14.65
3,9,1,3,3,0,4,4,1,6,3,14.25
6,2,3,1,0,5,4,1,1,1,0,12.72
7,5,1,2,7,0,1,2,5,1,35,14.0
6,13,5,3,5,5,2,4,2,1,10,14.85
2,16,1,3,2,4,4,1,5,2,10,18.1
7,3,9,3,4,4,2,4,4,6,16,16.75
5,4,3,2,3,0,3,5,4,6,12,16.74
2,11,5,1,10,5,4,3,1,4,10,14.4
6,3,5,2,6,3,2,1,5,6,30,16.16
2,16,9,3,5,3,5,3,0,3,0,16.76
2,15,10,3,2,4,3,4,3,6,6,18.38
5,10,9,1,4,5,4,5,1,4,4,18.0
3,17,10,1,0,3,3,3,2,4,0,12.47
7,19,8,3,0,1,3,3,5,1,0,15.64
6,2,4,1,5,3,5,5,1,2,5,16.44
5,2,1,3,3,4,3,3,4,3,12,18.39
6,19,4,2,1,0,1,5,3,6,3,12.25
6,8,3,3,3,5,5,2,5,1,15,19.55
5,14,5,2,7,2,5,2,1,4,7,12.88
2,16,5,2,4,4,5,1,5,4,20,15.42
4,1,2,3,2,5,4,1,0,6,0,16.44
6,3,3,2,3,3,5,3,0,6,0,15.09
1,18,6,2,2,4,4,1,5,2,10,16.28
1,9,2,2,10,2,4,5,4,2,40,15.23
3,6,4,2,1,5,3,3,2,3,2,17.03
7,1,2,2,3,4,1,5,3,2,9,12.7
2,10,9,3,8,5,3,2,1,2,8,17.75
3,12,10,2,3,4,3,4,3,5,9,16.26
3,4,10,3,0,5,2,3,3,6,0,16.3
3,13,6,3,6,0,5,5,3,2,18,19.26
4,8,10,1,5,5,4,3,0,5,0,15.07
2,20,3,2,9,0,3,4,4,5,36,14.85
6,3,8,3,0,1,2,4,3,1,0,13.87
3,12,5,1,6,3,2,1,0,2,0,14.94
2,7,8,1,3,5,2,3,0,4,0,14.02
6,12,2,3,10,0,4,4,1,2,10,14.99
4,2,7,2,2,5,3,3,4,2,8,16.28
6,14,9,2,9,5,2,1,4,6,36,13.6
4,5,7,2,6,5,2,3,4,4,24,15.32
3,9,3,3,2,4,3,1,5,1,10,17.78
4,11,7,2,7,1,3,4,0,3,0,12.88
2,5,8,3,10,2,5,4,0,2,0,18.3
3,3,1,3,3,2,1,4,4,2,12,16.32
2,17,3,2,2,5,1,1,5,6,10,16.71
1,2,5,2,6,0,2,2,0,3,0,13.38
5,1,6,2,6,5,3,1,4,5,24,13.5
4,7,3,3,8,4,5,1,1,4,8,19.08
5,14,4,2,9,4,4,5,2,3,18,19.08
5,5,5,3,6,5,1,4,5,1,30,17.31
4,19,3,2,5,2,1,4,2,2,10,13.76
3,11,4,2,2,4,3,5,2,5,4,14.07
6,9,10,2,5,0,5,4,0,6,0,12.92
2,3,9,2,8,4,1,4,1,2,8,13.96
6,2,10,3,7,2,3,1,3,6,21,14.27
2,7,8,2,7,5,3,2,5,4,35,16.36
4,5,6,2,10,3,4,2,0,6,0,15.22
1,5,10,3,9,3,1,2,4,3,36,17.75
6,20,3,3,9,5,4,2,3,3,27,16.74
3,20,7,1,9,1,2,1,5,4,45,15.33
2,20,10,1,0,3,3,5,3,4,0,11.82
6,18,1,3,4,4,3,3,1,4,4,15.27
3,2,6,1,6,2,2,1,3,3,18,11.78
3,6,7,2,9,2,1,2,1,2,9,14.74
4,9,9,1,8,5,1,1,0,3,0,12.78
7,3,3,2,3,2,3,2,3,1,9,12.25
4,1,2,3,7,1,2,3,1,6,7,13.54
4,1,5,1,0,2,3,4,2,4,0,12.65
4,19,10,2,3,4,2,5,2,5,6,13.56
4,5,1,3,3,0,3,3,3,3,9,13.47
1,19,9,3,10,4,1,2,1,5,10,18.37
3,12,10,3,10,0,4,2,0,2,0,14.63
4,16,9,3,2,3,5,3,5,3,10,18.48
3,19,7,3,2,0,3,4,5,2,10,15.13
3,3,7,2,8,1,2,4,3,2,24,16.04
5,12,8,3,6,2,4,5,0,3,0,17.54
1,5,10,3,1,0,2,2,1,3,1,15.54
4,2,2,3,8,0,2,2,2,2,16,13.9
2,7,6,1,7,5,1,4,1,1,7,16.68
6,13,5,3,5,1,3,2,5,1,25,13.88
7,15,5,3,5,5,1,2,0,4,0,18.35
2,3,3,3,1,1,2,3,2,3,2,11.95
6,5,6,2,5,3,5,4,2,1,10,15.4
1,8,10,3,2,0,2,1,5,2,10,14.4
3,1,10,2,10,3,2,4,5,6,50,16.4
6,8,7,2,10,5,5,4,3,5,30,18.74
3,18,1,3,6,2,2,1,5,6,30,17.03
2,16,1,2,3,2,4,2,2,3,6,13.07
6,20,3,2,10,0,3,2,5,3,50,12.89
4,12,5,2,10,3,1,4,0,3,0,17.85
1,13,9,2,1,1,1,5,2,3,2,13.33
4,13,3,1,2,5,5,5,4,1,8,14.33
1,10,10,3,9,5,5,2,2,6,18,15.62
3,14,9,2,9,3,3,1,4,4,36,17.41
2,15,6,1,4,1,3,3,1,1,4,12.08
1,12,9,3,4,1,3,1,4,1,16,16.86
1,9,5,3,6,1,1,4,5,2,30,16.8
2,8,10,2,7,0,4,2,3,2,21,12.29
1,18,5,3,2,5,5,3,1,2,2,18.96
7,13,1,3,3,4,3,2,2,5,6,16.73
3,18,9,2,0,2,3,4,4,3,0,13.91
6,15,10,3,10,2,1,5,5,1,50,14.95
2,4,10,3,4,2,1,2,1,6,4,15.68
6,17,9,3,9,3,5,4,3,6,27,17.66
1,16,9,3,2,5,3,4,3,6,6,18.39
1,9,3,2,9,2,5,3,1,4,9,16.45
7,10,4,3,3,2,1,4,5,3,15,13.9
2,18,6,2,3,0,5,2,1,2,3,15.16
3,17,4,2,5,2,1,5,2,2,10,15.59
5,18,1,3,8,4,1,4,5,3,40,16.61
2,7,7,2,9,0,1,3,2,1,18,11.75
5,4,5,1,2,1,3,1,5,2,10,11.23
7,5,8,2,3,3,5,3,5,1,15,15.03
4,16,9,2,5,0,1,1,2,2,10,14.22
5,3,5,2,5,0,4,4,5,3,25,13.97
3,18,8,3,6,4,1,5,1,6,6,19.97
5,15,1,2,8,5,1,5,1,1,8,17.32
4,1,6,2,3,1,4,5,1,5,3,14.01
7,17,5,2,2,4,3,5,4,1,8,14.02
3,14,1,1,4,1,5,5,0,1,0,15.76
5,19,2,3,6,5,1,2,1,1,6,16.21
2,13,6,1,2,3,5,5,2,3,4,14.74
2,18,10,3,8,4,2,4,5,2,40,16.9
2,14,2,1,5,0,2,1,2,2,10,11.89
3,1,3,3,10,3,4,4,3,5,30,18.67
4,7,4,2,10,0,5,1,5,5,50,15.33
7,8,7,2,9,2,1,4,0,1,0,14.61
5,9,2,3,7,0,1,3,1,5,7,14.22
7,1,8,2,0,4,5,1,2,3,0,16.49
5,17,9,2,3,2,2,4,4,6,12,16.03
3,19,7,2,6,5,3,1,2,5,12,15.63
5,6,1,3,8,2,4,4,3,1,24,17.65
2,3,6,3,2,5,1,4,0,4,0,18.23
1,5,8,2,10,3,3,3,3,1,30,15.81
6,2,5,1,5,4,1,4,4,6,20,15.85
5,20,2,2,7,0,4,1,1,5,7,14.74
2,10,8,2,2,4,3,2,3,2,6,12.88
1,11,1,1,8,3,4,2,0,3,0,17.27
6,16,4,2,8,4,1,5,2,2,16,15.55
2,17,4,3,5,1,3,2,0,2,0,15.15
4,16,9,2,4,3,4,4,2,3,8,13.2
4,7,3,1,0,0,1,1,0,6,0,8.74
6,16,4,1,2,4,5,3,5,2,10,15.27
3,3,3,1,2,5,4,4,1,6,2,16.33
7,8,4,3,4,5,5,3,1,3,4,18.5
6,12,8,1,10,4,4,3,5,5,50,17.56
5,3,1,2,7,0,2,3,5,2,35,12.22
5,17,8,2,10,5,3,3,2,2,20,17.73
7,18,8,2,8,5,3,3,5,3,40,17.75
7,11,3,2,6,5,1,4,1,3,6,14.75
4,4,10,2,9,4,2,2,4,5,36,14.79
2,17,6,1,2,5,2,4,1,3,2,16.83
7,6,1,3,9,3,1,4,5,4,45,15.75
4,20,1,3,0,2,5,4,0,4,0,17.54
1,2,5,1,8,1,2,2,4,1,32,15.55
4,9,8,3,2,1,3,3,4,1,8,14.46
5,6,1,3,8,3,4,5,5,3,40,17.23
5,3,2,3,9,5,2,2,2,5,18,16.81
2,6,8,3,7,4,2,5,1,4,7,16.12
6,7,3,1,5,2,3,5,2,2,10,12.53
5,1,8,3,8,0,4,2,5,5,40,14.97
4,1,1,2,3,5,4,5,3,3,9,19.24
7,5,9,3,4,4,5,4,0,4,0,19.14
4,6,2,3,5,3,1,4,0,5,0,17.0
3,13,2,2,8,2,2,3,3,1,24,14.93
1,15,10,1,8,4,5,4,2,2,16,15.93
1,13,4,2,3,3,1,5,4,3,12,15.43
6,14,6,1,2,4,3,4,1,6,2,15.09
6,7,7,3,3,1,2,2,3,4,9,16.9
6,14,5,1,0,1,4,2,3,2,0,13.19
1,10,2,3,1,4,1,1,4,5,4,15.68
7,17,3,3,3,4,4,2,2,4,6,14.73
6,14,10,3,9,4,5,4,1,1,9,20.44
4,8,3,3,3,3,4,1,1,4,3,18.0
1,4,5,1,4,5,2,5,0,3,0,16.72
6,16,5,3,8,5,2,4,1,2,8,19.46
4,13,4,2,0,2,4,3,1,4,0,16.13
7,20,8,3,7,3,4,3,1,4,7,17.02
3,18,6,3,2,3,1,2,1,2,2,16.25
7,14,6,3,8,1,2,1,4,5,32,14.46
6,18,1,1,10,4,4,1,5,3,50,14.99
1,5,6,2,7,3,3,5,0,4,0,17.84
5,9,3,3,7,3,1,2,5,1,35,14.75
6,3,6,3,8,4,1,1,3,2,24,18.85
5,8,10,1,3,5,1,4,0,6,0,13.73
4,20,6,3,4,2,1,5,2,1,8,14.53
3,10,2,1,6,1,4,1,5,1,30,12.04
2,19,1,3,1,0,5,3,5,5,5,16.02
7,3,3,3,6,5,3,3,3,3,18,16.45
3,11,5,1,2,3,5,1,0,6,0,14.18
7,16,4,2,5,5,1,5,0,5,0,14.61
5,7,8,1,9,5,1,4,0,4,0,14.01
1,4,7,3,1,4,4,3,5,3,5,16.09
5,19,10,3,8,0,4,1,0,5,0,13.27
1,12,9,2,7,4,2,1,4,5,28,15.43
4,15,1,1,6,5,1,5,4,1,24,17.8
7,11,5,1,10,5,3,3,3,5,30,17.54
2,5,6,2,3,2,5,3,0,5,0,17.2
6,15,1,3,1,5,1,2,5,6,5,13.25
1,18,6,3,3,0,4,1,1,3,3,14.69
2,11,1,2,9,1,4,3,4,4,36,13.58
5,12,1,1,10,2,4,5,2,3,20,15.98
5,2,8,3,2,0,1,2,5,1,10,13.64
2,20,2,2,1,3,3,3,0,6,0,13.76
7,15,10,3,1,0,4,1,5,3,5,14.8
5,20,6,3,7,0,1,2,3,6,21,13.44
4,4,6,3,4,1,5,4,1,6,4,16.96
4,18,6,2,5,2,2,5,3,6,15,15.73
2,6,8,2,7,3,1,1,0,6,0,13.65
1,19,4,3,6,5,1,4,1,5,6,15.76
1,11,3,3,6,2,4,1,5,3,30,16.32
2,2,6,2,6,2,2,5,5,2,30,13.09
1,8,4,2,10,3,2,3,1,6,10,18.08
7,11,2,2,10,3,4,4,5,6,50,15.88
7,5,6,3,6,1,3,4,0,3,0,14.46
1,18,10,2,7,4,1,2,2,5,14,15.03
1,14,9,3,2,5,3,5,3,4,6,16.87
7,10,6,3,0,3,4,2,4,6,0,13.58
3,3,3,3,7,0,5,4,4,5,28,13.76
6,9,5,3,1,0,3,1,4,1,4,14.58
3,11,8,1,5,2,2,2,1,5,5,11.24
4,12,8,2,0,4,4,1,1,2,0,12.2
2,3,3,1,5,4,4,2,5,6,25,16.81
1,7,9,1,8,4,1,5,3,5,24,15.47
4,14,3,1,2,0,1,1,5,2,10,13.21
6,11,8,3,6,3,2,2,0,5,0,15.69
1,7,10,3,3,5,1,2,3,1,9,17.64
7,10,9,2,0,5,5,5,4,1,0,18.37
2,11,7,3,6,4,2,3,3,2,18,16.21
4,15,4,2,0,1,3,1,5,1,0,12.85
6,20,3,3,8,0,2,2,0,2,0,14.39
6,18,2,2,6,1,5,5,3,1,18,17.98
5,13,10,3,6,4,1,2,0,2,0,18.32
5,5,3,1,2,0,5,5,5,5,10,15.87
1,4,1,3,10,2,4,1,2,4,20,17.79
7,14,4,3,7,4,2,5,0,3,0,16.11
6,8,8,2,0,0,5,3,2,2,0,13.87
2,9,5,3,3,0,2,3,0,1,0,13.39
4,19,2,1,9,3,2,5,4,6,36,14.56
4,3,3,2,3,0,4,1,2,3,6,14.61
1,5,1,3,1,4,1,4,0,4,0,17.2
5,1,1,3,0,1,4,1,4,3,0,12.61
5,8,2,2,2,0,5,3,2,3,4,15.92
4,19,3,3,8,0,3,5,2,4,16,14.65
1,17,1,2,9,5,1,2,0,6,0,16.02
6,17,9,2,5,1,3,5,3,2,15,13.09
5,11,10,3,1,4,4,5,4,5,4,18.04
6,2,5,1,8,2,2,4,5,6,40,12.88
7,6,8,3,1,3,4,5,0,1,0,15.47
5,14,5,2,6,5,1,4,1,6,6,18.63
5,3,8,2,0,2,1,2,2,2,0,15.27
5,4,4,2,6,4,4,1,5,6,30,15.14
2,12,7,1,2,5,1,5,0,1,0,15.14
6,2,9,1,2,0,5,5,3,6,6,13.16
7,15,10,2,5,1,4,4,4,1,20,13.65
5,17,9,3,2,1,1,1,0,3,0,13.83
2,7,5,3,7,3,2,4,3,3,21,15.6
6,14,8,3,6,1,2,3,5,4,30,16.79
3,12,7,3,0,2,5,1,0,1,0,13.54
6,17,9,1,1,4,1,4,5,4,5,14.34
6,14,7,3,3,5,5,5,3,4,9,18.3
5,6,4,3,4,3,5,4,1,5,4,17.87
3,19,4,2,10,5,5,2,3,2,30,16.16
6,6,8,2,9,5,5,1,4,5,36,15.93
2,18,6,2,10,0,4,4,1,5,10,13.88
2,5,9,3,3,2,4,3,2,4,6,16.85
1,6,10,2,3,0,1,2,1,2,3,9.83
3,2,7,1,8,1,1,1,1,5,8,11.75
3,8,7,1,3,2,3,2,2,3,6,12.97
1,15,4,2,3,5,2,5,1,5,3,15.0
3,11,8,3,1,5,1,5,5,3,5,16.38
2,1,7,1,7,3,5,4,2,5,14,14.44
