degree_type,technical_skills,soft_skills,cgpa,projects,internships,communication_level,technical_skill_level,years_of_experience,specialization,package
BCA,7,2,5.06,7,5,3,2,5,Cloud Computing,14.68
B.Sc,15,7,7.6,10,1,5,5,5,None,18.05
BCA,7,5,9.92,0,2,4,1,3,Cloud Computing,14.56
PhD,17,1,7.62,8,3,1,2,5,Data Science,13.68
B.Sc,16,7,5.91,4,5,1,3,4,Cloud Computing,13.59
B.Tech,19,7,5.11,1,5,5,1,1,App Development,13.99
PhD,9,10,6.77,3,5,5,1,4,Web Development,16.97
M.Tech,14,6,9.59,2,5,5,1,0,Web Development,18.9
MCA,17,4,9.98,6,3,5,3,1,Web Development,16.31
B.Tech,5,8,9.73,5,1,5,4,3,Cybersecurity,14.46
MCA,2,2,8.65,10,5,5,2,4,Data Science,20.34
M.Sc,20,2,7.79,10,5,1,1,5,AI/ML,15.01
M.Tech,16,2,7.95,8,1,3,1,3,Data Science,16.28
M.Tech,14,3,7.69,3,2,4,3,3,Web Development,15.37
B.Tech,14,6,8.54,2,1,5,3,0,Data Science,14.74
M.Tech,1,1,7.09,6,3,4,2,5,Cybersecurity,13.69
B.Sc,3,2,8.35,5,4,1,2,2,Web Development,16.47
M.Tech,7,10,5.61,4,2,4,1,1,None,13.86
MCA,15,2,6.33,9,4,1,1,2,Cybersecurity,14.6
MCA,19,1,9.18,6,5,2,1,2,Cybersecurity,16.44
PhD,20,3,9.52,4,4,3,1,0,None,16.59
MCA,2,10,7.7,8,3,2,1,3,Cybersecurity,15.22
PhD,19,7,5.16,3,4,1,3,3,Web Development,15.12
MCA,9,1,9.63,0,0,2,4,1,None,11.25
B.Sc,19,7,8.51,9,2,1,2,0,Cybersecurity,17.29
PhD,5,5,7.07,4,3,2,3,4,Cybersecurity,13.65
BCA,18,9,7.99,0,1,1,5,3,AI/ML,12.44
M.Sc,16,2,7.15,0,3,3,5,1,Data Science,12.85
B.Tech,4,1,7.33,0,1,3,5,4,AI/ML,15.97
MCA,12,9,9.43,0,3,3,2,5,Data Science,13.16
M.Tech,7,8,5.81,7,0,1,1,2,Web Development,14.36
MCA,14,10,5.52,1,2,4,5,0,AI/ML,14.54
M.Tech,12,6,5.01,8,5,2,5,4,Cloud Computing,17.2
M.Sc,3,5,6.57,6,5,2,4,3,Web Development,17.47
M.Sc,5,8,5.74,10,4,2,3,5,Web Development,14.71
M.Sc,17,8,6.1,2,3,2,2,1,Data Science,14.99
M.Tech,10,5,5.06,8,2,3,2,1,Data Science,16.07
MCA,10,7,6.14,3,2,4,4,5,Cybersecurity,13.93
M.Sc,11,1,6.66,6,2,2,5,0,Cloud Computing,16.97
B.Sc,17,4,5.16,2,2,4,4,2,App Development,15.16
PhD,5,2,8.04,4,2,1,1,3,Web Development,14.27
M.Tech,13,10,7.84,3,4,1,5,2,Web Development,15.44
M.Tech,10,3,5.49,5,5,2,2,0,None,13.27
MCA,9,1,7.98,8,4,5,3,0,AI/ML,16.63
M.Tech,17,2,9.99,4,3,3,4,2,Data Science,16.93
M.Tech,1,1,9.72,0,5,2,4,4,AI/ML,19.48
M.Sc,4,8,5.01,4,5,3,2,4,Data Science,13.82
MCA,4,4,8.98,4,1,2,5,0,None,15.62
M.Sc,18,3,6.77,8,3,3,5,4,None,14.66
PhD,9,1,5.32,7,2,5,5,4,Data Science,15.43
PhD,18,2,6.48,4,1,5,3,5,AI/ML,12.31
M.Sc,14,3,6.61,4,5,1,3,1,AI/ML,16.58
PhD,15,3,7.62,1,3,2,5,2,AI/ML,16.18
MCA,6,6,8.31,8,1,5,3,1,App Development,15.52
B.Tech,10,10,8.75,10,5,5,4,1,Data Science,19.47
M.Sc,15,8,6.23,3,4,2,5,5,None,16.3
B.Sc,4,6,6.61,6,2,2,3,0,Cloud Computing,12.19
B.Sc,18,2,6.54,9,1,1,4,5,AI/ML,16.78
M.Tech,18,2,6.81,5,0,5,4,0,Data Science,14.54
PhD,17,7,10.0,4,2,3,3,0,AI/ML,18.2
B.Sc,12,1,8.89,10,4,2,5,1,App Development,20.24
M.Tech,7,1,9.87,10,4,2,5,3,None,15.82
B.Tech,16,7,8.47,4,3,2,3,1,Cloud Computing,17.09
MCA,11,9,7.03,6,5,2,3,5,Cloud Computing,17.38
MCA,14,5,6.95,1,0,5,1,1,Cybersecurity,10.49
MCA,3,1,7.44,8,1,3,4,5,Cybersecurity,17.77
B.Sc,19,5,7.08,1,3,1,5,1,Cloud Computing,15.42
B.Tech,18,1,9.14,8,4,4,2,4,AI/ML,15.92
B.Sc,10,10,7.33,10,1,5,4,5,Cybersecurity,14.61
PhD,6,9,6.48,3,4,5,5,4,App Development,16.8
B.Sc,13,4,8.87,9,4,4,1,0,Data Science,15.02
B.Tech,10,9,9.27,10,0,4,4,1,Cloud Computing,15.18
B.Tech,18,2,7.1,9,2,2,4,1,AI/ML,18.0
PhD,20,7,8.34,5,1,3,5,0,App Development,17.13
B.Tech,16,2,5.29,0,0,5,2,2,Data Science,12.54
B.Tech,6,4,7.65,4,5,5,3,3,Cloud Computing,15.63
MCA,13,6,5.22,5,4,1,2,5,Cloud Computing,12.32
PhD,4,2,5.15,8,4,4,1,3,AI/ML,14.52
BCA,14,2,8.06,8,0,4,4,2,AI/ML,17.01
BCA,1,2,6.52,8,5,5,5,0,Web Development,15.53
B.Tech,20,3,8.71,2,1,4,4,2,AI/ML,13.15
BCA,5,5,9.48,3,4,2,3,3,Data Science,18.44
BCA,8,9,5.7,7,5,1,2,2,Cybersecurity,16.49
B.Tech,12,6,8.62,7,1,5,2,1,AI/ML,16.85
BCA,2,9,7.57,1,0,1,1,4,AI/ML,11.94
B.Sc,12,10,5.56,7,4,2,5,1,Cybersecurity,14.06
M.Tech,5,5,8.26,6,3,1,3,3,Cybersecurity,13.67
PhD,5,6,8.05,8,3,4,3,5,App Development,18.86
M.Tech,13,10,7.58,4,4,5,5,5,Cloud Computing,16.76
B.Tech,9,8,9.63,1,2,1,1,5,None,14.16
MCA,10,3,7.61,4,4,3,3,4,Cloud Computing,15.75
PhD,1,2,9.95,1,4,5,1,4,Cybersecurity,17.72
B.Tech,3,3,7.55,4,4,1,5,2,Cybersecurity,14.6
MCA,18,9,5.58,8,0,5,5,1,Cybersecurity,14.87
M.Tech,12,6,7.35,6,4,1,5,5,Data Science,15.79
B.Tech,3,10,5.91,6,4,1,3,2,None,12.47
PhD,9,4,7.99,0,0,4,5,3,None,13.98
PhD,2,10,8.47,8,4,1,3,4,App Development,16.87
M.Sc,3,3,7.34,5,3,3,1,2,Web Development,14.68
B.Sc,14,2,5.49,6,3,4,4,4,Data Science,15.75
BCA,4,4,7.34,1,5,3,1,1,Web Development,13.12
MCA,19,9,5.41,0,4,3,3,5,None,12.2
M.Sc,13,4,8.41,10,0,2,2,3,None,13.07
BCA,7,5,8.95,3,4,3,2,1,Cloud Computing,17.52
BCA,12,8,9.81,8,4,1,4,2,None,14.56
B.Tech,3,2,5.74,8,5,5,5,2,Cybersecurity,16.45
BCA,9,3,7.66,10,1,4,1,0,Data Science,17.29
B.Sc,2,6,7.84,2,5,4,1,1,App Development,14.71
PhD,9,7,9.61,0,2,4,3,3,Cybersecurity,13.93
M.Sc,12,4,8.14,1,0,5,4,5,App Development,15.97
BCA,12,1,5.73,8,2,3,5,4,None,12.18
B.Tech,15,7,7.18,8,1,2,4,0,App Development,14.74
B.Sc,2,9,8.27,0,2,1,2,3,Cybersecurity,15.34
M.Tech,18,1,8.5,8,4,4,4,5,Cybersecurity,20.27
PhD,13,1,9.32,0,3,1,5,1,None,13.64
PhD,14,1,5.9,9,0,3,5,4,Data Science,13.72
M.Sc,5,10,9.76,3,0,2,1,3,None,13.29
PhD,10,7,5.3,4,4,4,1,0,Cybersecurity,12.71
BCA,12,9,9.92,7,5,3,5,5,Cloud Computing,17.51
B.Tech,10,3,9.29,4,2,2,1,5,Web Development,14.5
PhD,11,8,8.3,4,0,4,1,4,App Development,11.74
PhD,2,9,8.67,3,5,3,1,1,AI/ML,18.07
M.Tech,5,3,5.36,8,1,1,5,4,Cloud Computing,13.29
M.Tech,7,3,5.21,7,1,5,1,1,Web Development,12.61
MCA,6,1,5.51,8,2,4,2,2,AI/ML,15.86
B.Sc,3,2,5.44,6,1,2,5,2,Cybersecurity,13.27
BCA,13,7,7.74,6,3,2,4,1,Cloud Computing,17.35
PhD,3,3,6.08,4,4,5,3,3,App Development,14.05
PhD,6,7,9.3,9,0,5,3,0,App Development,16.72
B.Tech,11,5,7.23,0,5,3,2,2,AI/ML,16.38
MCA,17,10,8.48,5,4,5,5,3,AI/ML,17.84
B.Sc,10,8,8.26,9,2,4,4,4,AI/ML,14.92
MCA,12,5,6.6,5,4,5,5,2,Cybersecurity,18.14
M.Sc,17,3,6.22,9,0,4,4,5,Web Development,14.8
B.Sc,4,9,6.71,3,5,1,4,5,Web Development,14.61
PhD,2,7,8.98,1,0,5,5,3,Cloud Computing,18.05
PhD,11,5,7.93,0,2,1,1,0,Cybersecurity,14.84
B.Sc,7,7,6.27,2,0,2,3,5,Web Development,10.15
PhD,2,10,9.09,10,1,5,1,4,Cloud Computing,16.82
BCA,18,9,5.27,8,5,2,3,2,Web Development,14.83
B.Sc,4,5,8.5,0,5,1,1,5,None,11.49
MCA,8,7,7.2,4,4,2,5,2,Data Science,13.78
B.Sc,20,9,8.66,9,3,1,5,0,Cybersecurity,17.71
PhD,14,1,9.64,5,3,3,4,1,Data Science,16.38
BCA,12,4,8.75,8,3,1,2,5,Web Development,16.97
BCA,18,1,7.21,0,2,3,5,2,Web Development,14.5
M.Sc,11,8,5.75,4,3,2,3,1,None,14.38
MCA,8,3,9.03,0,5,1,4,0,Data Science,17.88
M.Tech,2,2,7.3,1,5,3,3,5,Cybersecurity,16.47
M.Tech,15,4,5.38,1,4,1,1,0,None,11.22
B.Sc,9,3,8.6,10,0,4,2,5,Cloud Computing,18.1
M.Sc,19,5,6.46,4,1,4,5,3,AI/ML,13.91
B.Tech,20,8,5.24,9,3,2,1,2,App Development,14.02
B.Sc,8,10,9.51,3,3,4,4,4,Data Science,17.21
M.Sc,19,8,7.42,5,3,5,3,5,App Development,15.79
MCA,5,7,6.4,4,1,3,2,4,None,10.45
MCA,11,8,8.58,1,4,5,5,5,Cybersecurity,16.62
MCA,15,5,9.43,8,3,4,3,0,None,15.23
MCA,8,10,5.0,9,0,2,5,4,None,14.9
MCA,19,10,8.44,7,2,5,5,4,Cybersecurity,18.24
M.Sc,8,6,8.84,8,1,2,3,5,App Development,14.64
M.Sc,19,8,6.05,10,4,1,5,4,AI/ML,16.76
BCA,18,1,7.45,5,5,5,4,3,None,18.34
M.Tech,10,6,5.45,4,0,1,2,3,Cloud Computing,13.84
PhD,7,6,8.73,4,1,5,1,5,Cloud Computing,12.81
MCA,9,5,9.24,1,5,3,2,0,Web Development,17.88
B.Tech,1,4,5.54,10,1,2,1,5,Web Development,15.66
PhD,19,1,9.08,3,2,1,4,4,App Development,15.28
M.Sc,5,10,8.86,1,2,4,2,0,Data Science,17.49
B.Tech,19,8,6.73,1,5,5,4,0,App Development,18.62
B.Tech,1,6,8.45,7,5,1,3,0,None,16.75
B.Tech,15,3,5.0,3,4,5,1,3,Cloud Computing,15.74
BCA,16,3,9.66,3,3,5,3,3,Data Science,16.08
M.Sc,7,6,7.75,6,5,5,3,2,Web Development,19.64
B.Tech,12,7,8.1,3,2,1,2,5,Data Science,14.52
MCA,8,8,8.32,8,4,1,5,4,AI/ML,17.44
B.Sc,5,5,7.81,8,1,5,5,5,None,17.46
B.Tech,10,10,9.28,2,3,4,4,1,App Development,18.72
BCA,5,6,8.05,5,0,2,2,3,Data Science,14.74
PhD,17,1,9.54,6,1,5,3,5,Web Development,14.25
M.Sc,5,6,7.91,2,4,4,4,5,Web Development,16.93
BCA,15,9,5.86,3,0,2,3,1,AI/ML,14.02
B.Tech,13,10,9.57,0,1,5,4,4,AI/ML,16.07
M.Sc,1,4,8.41,10,2,2,1,4,Cloud Computing,17.72
B.Sc,11,10,8.5,8,4,5,4,3,AI/ML,20.29
B.Tech,1,1,9.93,6,0,1,4,1,AI/ML,15.71
BCA,11,9,5.38,9,5,5,3,5,None,15.25
M.Tech,18,4,7.14,6,2,5,5,0,Cloud Computing,14.26
MCA,18,2,6.2,8,5,5,3,0,AI/ML,17.68
PhD,16,1,8.15,5,5,5,2,5,Cybersecurity,16.02
BCA,13,3,9.03,7,0,4,3,3,Cybersecurity,16.56
M.Sc,7,7,9.83,4,3,3,5,1,Cybersecurity,19.09
B.Tech,1,10,7.27,7,3,4,2,3,AI/ML,15.31
MCA,16,2,8.93,9,4,4,5,0,Web Development,16.44
B.Tech,1,9,9.59,0,0,1,2,4,Web Development,15.18
M.Sc,17,2,8.42,2,3,5,3,3,Cloud Computing,16.4
B.Tech,6,5,6.21,3,1,4,5,0,Web Development,13.6
M.Tech,2,8,8.04,10,1,2,5,4,Web Development,17.09
MCA,17,10,9.85,8,3,5,1,5,Cloud Computing,18.28
MCA,6,8,9.94,7,5,1,1,3,Cybersecurity,15.3
M.Sc,14,3,8.21,7,5,1,4,3,Cloud Computing,17.96
PhD,18,2,9.43,1,3,2,1,0,Web Development,13.79
M.Tech,6,9,6.0,6,4,1,5,0,None,16.12
BCA,10,3,6.23,2,5,5,4,4,Web Development,18.45
B.Tech,18,8,9.76,5,4,3,3,2,Cloud Computing,15.47
B.Sc,9,2,5.68,3,1,3,4,4,AI/ML,15.59
B.Tech,8,3,5.96,5,2,4,2,3,Web Development,16.09
B.Tech,10,1,7.1,3,0,1,4,3,Web Development,12.47
BCA,17,6,7.95,2,2,5,1,3,Cloud Computing,12.21
B.Tech,6,7,8.02,1,4,2,3,5,App Development,16.13
M.Tech,14,4,6.46,3,5,2,2,0,Web Development,14.1
M.Tech,6,1,9.6,9,2,5,4,3,App Development,16.62
MCA,7,3,9.58,1,4,5,3,3,AI/ML,15.19
M.Sc,12,9,6.96,6,2,2,1,4,AI/ML,12.36
PhD,3,5,7.17,0,1,1,3,0,Cloud Computing,11.49
B.Sc,14,6,8.51,10,4,4,3,4,Data Science,19.49
B.Tech,19,4,8.31,0,1,4,2,2,Cybersecurity,15.41
B.Tech,16,1,6.91,4,2,4,5,4,AI/ML,15.62
BCA,7,5,7.07,6,3,5,1,4,None,14.61
M.Sc,8,5,6.74,0,3,2,2,2,AI/ML,15.53
M.Tech,18,5,6.18,3,0,2,2,4,None,13.25
B.Sc,13,6,7.29,4,3,2,2,3,Cybersecurity,16.22
MCA,9,2,8.43,1,0,2,5,3,Cloud Computing,13.73
M.Tech,10,1,8.71,6,2,2,5,1,Web Development,15.86
M.Sc,9,2,8.89,3,0,3,4,0,Cloud Computing,16.87
PhD,15,10,6.87,7,0,5,4,3,Data Science,17.25
MCA,20,6,8.82,0,0,5,1,5,App Development,15.18
PhD,2,5,5.03,9,1,3,1,0,Data Science,14.4
BCA,13,5,7.39,0,0,4,5,4,Cybersecurity,14.42
BCA,2,6,8.97,0,5,1,5,1,App Development,15.87
B.Tech,19,10,8.15,3,4,5,5,5,Data Science,16.19
PhD,2,7,7.37,0,2,5,2,3,Data Science,12.42
M.Sc,3,9,8.22,4,1,3,5,5,Cybersecurity,16.77
B.Sc,6,7,9.53,5,4,5,2,4,Cybersecurity,18.9
MCA,3,2,7.83,6,2,5,2,1,None,13.99
M.Tech,10,6,9.0,7,1,4,1,5,Cybersecurity,12.93
M.Sc,6,9,9.9,7,2,3,3,4,None,18.13
M.Sc,16,7,8.53,1,3,5,4,0,Cybersecurity,16.1
BCA,17,2,7.87,3,2,2,4,4,Cybersecurity,17.39
PhD,19,3,5.19,6,3,3,1,4,None,13.5
B.Tech,3,8,6.87,8,3,4,1,4,AI/ML,13.44
B.Tech,18,9,7.83,8,5,1,5,1,App Development,16.73
MCA,7,4,8.99,10,2,5,5,5,App Development,19.18
BCA,9,9,7.19,2,3,2,5,4,Web Development,16.06
M.Sc,20,2,9.8,6,5,2,2,1,Cybersecurity,16.14
B.Sc,12,5,6.36,3,1,1,2,1,Web Development,10.9
BCA,5,2,8.72,8,3,3,5,2,Data Science,16.62
MCA,3,1,7.1,6,0,4,2,4,AI/ML,15.39
MCA,11,5,7.43,5,1,5,1,3,Cybersecurity,13.07
BCA,4,2,9.01,8,5,5,5,1,App Development,20.51
MCA,5,7,6.48,6,1,5,4,4,None,16.04
BCA,1,8,5.48,10,1,2,4,3,None,12.95
M.Tech,18,2,7.6,7,0,3,2,0,None,10.69
BCA,12,7,7.64,10,0,1,4,3,AI/ML,13.19
PhD,13,4,8.99,4,0,3,5,1,Cloud Computing,14.65
BCA,9,1,9.84,3,0,4,4,1,Web Development,14.25
MCA,2,3,5.28,0,5,4,1,1,App Development,12.72
PhD,5,1,7.96,7,0,1,2,5,App Development,14.0
MCA,13,5,8.41,5,5,2,4,2,App Development,14.85
B.Tech,16,8,9.93,3,5,1,2,3,None,13.48
B.Tech,16,1,9.71,2,4,4,1,5,Cybersecurity,18.1
PhD,3,9,8.56,4,4,2,4,4,Web Development,16.75
M.Tech,4,3,7.61,3,0,3,5,4,Web Development,16.74
B.Tech,11,5,5.81,10,5,4,3,1,Cloud Computing,14.4
BCA,14,9,6.92,10,1,2,4,3,None,11.85
MCA,3,5,7.93,6,3,2,1,5,Web Development,16.16
B.Tech,16,9,8.63,5,3,5,3,0,Data Science,16.76
B.Tech,15,10,8.18,2,4,3,4,3,Web Development,18.38
M.Tech,10,8,8.57,9,0,2,2,4,None,15.27
PhD,9,7,7.15,10,2,1,1,1,None,13.51
PhD,11,1,8.64,0,3,3,4,3,None,14.58
M.Sc,16,4,5.72,6,5,3,1,2,None,15.49
M.Tech,10,9,5.81,4,5,4,5,1,Cloud Computing,18.0
BCA,17,10,5.81,0,3,3,3,2,Cloud Computing,12.47
PhD,19,8,9.45,0,1,3,3,5,App Development,15.64
MCA,2,4,5.38,5,3,5,5,1,Cybersecurity,16.44
M.Tech,2,1,9.01,3,4,3,3,4,Data Science,18.39
B.Tech,6,10,6.17,7,0,2,3,0,None,14.24
MCA,19,4,7.34,1,0,1,5,3,Web Development,12.25
MCA,8,3,9.58,3,5,5,2,5,App Development,19.55
B.Tech,3,6,7.93,7,3,5,3,3,None,17.98
M.Tech,14,5,6.05,7,2,5,2,1,Cloud Computing,12.88
B.Tech,16,5,6.42,4,4,5,1,5,Cloud Computing,15.42
M.Sc,1,2,9.6,2,5,4,1,0,Web Development,16.44
MCA,3,3,7.14,3,3,5,3,0,Web Development,15.09
B.Sc,18,6,7.93,2,4,4,1,5,Cybersecurity,16.28
B.Sc,9,2,7.3,10,2,4,5,4,Cybersecurity,15.23
BCA,6,4,6.89,1,5,3,3,2,Data Science,17.03
PhD,1,2,6.12,3,4,1,5,3,Cybersecurity,12.7
B.Tech,10,9,8.43,8,5,3,2,1,Cybersecurity,17.75
B.Tech,6,3,8.59,5,4,4,4,0,None,15.08
BCA,12,10,6.37,3,4,3,4,3,AI/ML,16.26
BCA,4,10,8.95,0,5,2,3,3,Web Development,16.3
BCA,13,6,9.27,6,0,5,5,3,Cybersecurity,19.26
MCA,17,1,9.6,1,2,5,4,5,None,17.37
M.Sc,8,10,5.81,5,5,4,3,0,AI/ML,15.07
B.Tech,20,3,6.52,9,0,3,4,4,AI/ML,14.85
MCA,3,8,9.3,0,1,2,4,3,App Development,13.87
BCA,12,5,5.99,6,3,2,1,0,Cybersecurity,14.94
B.Tech,7,8,5.02,3,5,2,3,0,Cloud Computing,14.02
MCA,12,2,9.35,10,0,4,4,1,Cybersecurity,14.99
M.Sc,2,7,6.63,2,5,3,3,4,Cybersecurity,16.28
MCA,14,9,7.07,9,5,2,1,4,Web Development,13.6
M.Sc,5,7,7.23,6,5,2,3,4,Cloud Computing,15.32
BCA,9,3,9.24,2,4,3,1,5,App Development,17.78
M.Sc,11,7,6.69,7,1,3,4,0,Data Science,12.88
B.Tech,5,8,9.46,10,2,5,4,0,Cybersecurity,18.3
BCA,3,1,8.08,3,2,1,4,4,Cybersecurity,16.32
B.Tech,17,3,7.64,2,5,1,1,5,Web Development,16.71
B.Sc,2,5,6.63,6,0,2,2,0,Data Science,13.38
M.Tech,1,6,6.22,6,5,3,1,4,AI/ML,13.5
M.Sc,7,3,8.12,8,4,5,1,1,Cloud Computing,19.08
M.Tech,14,4,7.23,9,4,4,5,2,Data Science,19.08
M.Tech,5,5,9.55,6,5,1,4,5,App Development,17.31
M.Sc,19,3,7.46,5,2,1,4,2,Cybersecurity,13.76
BCA,11,4,7.56,2,4,3,5,2,AI/ML,14.07
B.Sc,2,5,7.08,3,3,4,2,2,None,12.31
B.Tech,8,2,8.95,7,0,1,3,1,None,15.16
MCA,9,10,7.12,5,0,5,4,0,Web Development,12.92
B.Tech,3,9,6.35,8,4,1,4,1,Cybersecurity,13.96
MCA,2,10,9.31,7,2,3,1,3,Web Development,14.27
B.Tech,7,8,7.98,7,5,3,2,5,Cloud Computing,16.36
M.Sc,5,6,7.96,10,3,4,2,0,Web Development,15.22
B.Sc,5,10,8.05,9,3,1,2,4,Data Science,17.75
MCA,20,3,8.59,9,5,4,2,3,Data Science,16.74
PhD,13,2,6.57,6,3,1,5,3,None,16.54
BCA,20,7,5.17,9,1,2,1,5,Cloud Computing,15.33
B.Tech,6,8,9.05,10,4,1,5,1,None,18.5
B.Tech,20,10,5.64,0,3,3,5,3,Cloud Computing,11.82
MCA,18,1,8.61,4,4,3,3,1,Cloud Computing,15.27
BCA,2,6,5.41,6,2,2,1,3,Data Science,11.78
BCA,6,7,6.88,9,2,1,2,1,Cybersecurity,14.74
M.Sc,9,9,5.32,8,5,1,1,0,Data Science,12.78
PhD,3,3,7.61,3,2,3,2,3,App Development,12.25
M.Sc,1,2,8.27,7,1,2,3,1,Web Development,13.54
M.Sc,1,5,5.86,0,2,3,4,2,Cloud Computing,12.65
M.Sc,19,10,6.86,3,4,2,5,2,AI/ML,13.56
M.Sc,5,1,9.65,3,0,3,3,3,Data Science,13.47
M.Sc,13,6,7.21,1,0,5,5,5,None,11.86
B.Sc,19,9,9.01,10,4,1,2,1,AI/ML,18.37
BCA,12,10,9.64,10,0,4,2,0,Cybersecurity,14.63
M.Sc,16,9,9.87,2,3,5,3,5,Data Science,18.48
BCA,19,7,9.49,2,0,3,4,5,Cybersecurity,15.13
BCA,3,7,6.59,8,1,2,4,3,Cybersecurity,16.04
M.Tech,12,8,9.81,6,2,4,5,0,Data Science,17.54
B.Sc,5,10,9.06,1,0,2,2,1,Data Science,15.54
M.Sc,2,2,9.19,8,0,2,2,2,Cybersecurity,13.9
B.Tech,7,6,5.08,7,5,1,4,1,App Development,16.68
MCA,13,5,9.77,5,1,3,2,5,App Development,13.88
PhD,15,5,8.89,5,5,1,2,0,Cloud Computing,18.35
B.Tech,3,3,8.84,1,1,2,3,2,Data Science,11.95
B.Sc,20,3,5.41,2,0,1,4,3,None,10.83
MCA,5,6,6.16,5,3,5,4,2,App Development,15.4
B.Sc,8,10,9.81,2,0,2,1,5,Cybersecurity,14.4
BCA,1,10,7.5,10,3,2,4,5,Web Development,16.4
MCA,8,7,6.99,10,5,5,4,3,AI/ML,18.74
BCA,18,1,9.2,6,2,2,1,5,Web Development,17.03
B.Tech,20,3,5.44,4,4,4,2,3,None,11.77
B.Tech,16,1,7.08,3,2,4,2,2,Data Science,13.07
MCA,18,10,6.88,7,0,3,5,2,None,15.44
MCA,20,3,6.75,10,0,3,2,5,Data Science,12.89
M.Sc,12,5,6.54,10,3,1,4,0,Data Science,17.85
B.Sc,13,9,6.05,1,1,1,5,2,Data Science,13.33
M.Sc,13,3,5.86,2,5,5,5,4,App Development,14.33
B.Sc,10,10,8.2,9,5,5,2,2,Web Development,15.62
M.Sc,7,10,9.6,3,5,2,5,0,None,18.27
BCA,14,9,7.54,9,3,3,1,4,Cloud Computing,17.41
MCA,16,1,6.49,5,1,3,5,4,None,12.49
B.Tech,15,6,5.8,4,1,3,3,1,App Development,12.08
B.Sc,12,9,9.15,4,1,3,1,4,App Development,16.86
B.Sc,9,5,9.86,6,1,1,4,5,Cybersecurity,16.8
B.Tech,8,10,6.75,7,0,4,2,3,Cybersecurity,12.29
M.Sc,18,2,6.45,5,4,5,2,0,None,14.41
B.Sc,18,5,8.01,2,5,5,3,1,Cybersecurity,18.96
PhD,13,1,8.88,3,4,3,2,2,AI/ML,16.73
BCA,18,9,7.28,0,2,3,4,4,Data Science,13.91
MCA,15,10,8.15,10,2,1,5,5,App Development,14.95
